[21:30:01] поиск в ЕГРЮЛ, проход 1
21:30:39 INFO    регион 01 (Республика Адыгея) «СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА»: 233 записей, всего в базе 233
21:31:16 INFO    регион 01 (Республика Адыгея) «ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА»: 236 записей, всего в базе 246
[21:31:53] поиск в ЕГРЮЛ, проход 1
21:32:30 INFO    регион 01 (Республика Адыгея) «ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА»: 236 записей, всего в базе 246
21:33:07 INFO    регион 01 (Республика Адыгея) «СРЕДНЯЯ ШКОЛА»: 218 записей, всего в базе 246
21:33:10 INFO    регион 01 (Республика Адыгея) «ГИМНАЗИЯ»: 5 записей, всего в базе 250
21:33:13 INFO    регион 01 (Республика Адыгея) «ЛИЦЕЙ»: 6 записей, всего в базе 256
21:33:50 INFO    регион 01 (Республика Адыгея) «ШКОЛА-ИНТЕРНАТ»: 215 записей, всего в базе 260
21:34:27 INFO    регион 01 (Республика Адыгея) «КАДЕТСКАЯ ШКОЛА»: 208 записей, всего в базе 260
21:34:30 INFO    регион 01 (Республика Адыгея) «КАДЕТСКИЙ КОРПУС»: 3 записей, всего в базе 263
[21:34:55] поиск в ЕГРЮЛ, проход 1
