ИНН;КПП;ОГРН;Наименование краткое;Наименование полное;Адрес юридический;Индекс;Регион (область);Район;Город / населённый пункт;E-mail;Телефоны;Сайт;Источник контактов;Должность руководителя;ФИО руководителя;Численность работников;Численность на дату;ОКВЭД;ОКВЭД наименование;Статус
0108003416;010101001;1020100511089;;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 13"" Х. МИХАЙЛОВ ШОВГЕНОВСКОГО РАЙОНА РЕСПУБЛИКИ АДЫГЕЯ";385450, РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ), Р-Н ШОВГЕНОВСКИЙ, Х. МИХАЙЛОВ, УЛ. КРАСНОАРМЕЙСКАЯ, ДВЛД. 16;385450;РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ);;Х. МИХАЙЛОВ;;;;;Директор;Синякова Наталья Ивановна;;;85.13;Образование основное общее;действующая
0102001765;010101001;1020100862220;"""ШКОЛА-ИНТЕРНАТ ДЛЯ ДЕТЕЙ С ОВЗ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""ШКОЛА-ИНТЕРНАТ ДЛЯ ДЕТЕЙ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ""";385440, РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ), Р-Н ШОВГЕНОВСКИЙ, АУЛ ХАКУРИНОХАБЛЬ, УЛ КРАСНООКТЯБРЬСКАЯ, ВЛД. 104;385440;РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ);;АУЛ ХАКУРИНОХАБЛЬ;;;;;Директор;Хуажева Мариет Валериевна;;;85.13;Образование основное общее;действующая
0106011531;010701001;1030100630306;ВСОШ №2;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""ВЕЧЕРНЯЯ (СМЕННАЯ) ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2""";385132, РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ), Р-Н ТАХТАМУКАЙСКИЙ, Х. НОВЫЙ САД;385132;РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ);;Х. НОВЫЙ САД;vsochik2@yandex.ru;+7 (918) 191-20-20;;выдача поиска;Директор;Трахов Вячеслав Гучипсович;;;85.13;Образование основное общее;действующая
0102002127;010101001;1020100862209;"МБОУ ""ГИМНАЗИЯ №1""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ "" ГИМНАЗИЯ № 1"" С. КРАСНОГВАРДЕЙСКОГО КРАСНОГВАРДЕЙСКОГО РАЙОНА РЕСПУБЛИКИ АДЫГЕЯ";385300, РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ), Р-Н КРАСНОГВАРДЕЙСКИЙ, С. КРАСНОГВАРДЕЙСКОЕ, УЛ. ЧАПАЕВА, Д. 87А;385300;РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ);;С. КРАСНОГВАРДЕЙСКОЕ;;;;;Директор;Ляшенко Ирина Ивановна;;;85.14;Образование среднее общее;действующая
0108003293;010101001;1020100511001;"МБОУ ""КСОШ №9"" Х.ТИХОНОВ ШОВГЕНОВСКОГО РАЙОНА РА";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КРАСНОБАШНЕНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 9"" Х.ТИХОНОВ ШОВГЕНОВСКОГО РАЙОНА РЕСПУБЛИКИ АДЫГЕЯ";385449, РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ), Р-Н ШОВГЕНОВСКИЙ, Х. ТИХОНОВ, УЛ. СОВЕТСКАЯ, ВЛД. 71А;385449;РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ);;Х. ТИХОНОВ;;;;;Директор;Кондратьев Алексей Николаевич;;;85.14;Образование среднее общее;действующая
0102002825;010101001;1020100862210;"МБОУ ""НОШ-ДС №18"" С. ВЕРХНЕНАЗАРОВСКОЕ";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА - ДЕТСКИЙ САД №18"" С. ВЕРХНЕНАЗАРОВСКОЕ КРАСНОГВАРДЕЙСКОГО РАЙОНА РЕСПУБЛИКИ АДЫГЕЯ";385334, РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ), Р-Н КРАСНОГВАРДЕЙСКИЙ, С. ВЕРХНЕНАЗАРОВСКОЕ, УЛ. ПОЧТОВАЯ, Д. 53;385334;РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ);;С. ВЕРХНЕНАЗАРОВСКОЕ;;;;;Руководитель ликвидационной комиссии;Терещенко Яна Байзетовна;;;85.12;Образование начальное общее;действующая
0106009733;010701001;1020100826140;"МБОУ ""НШ № 17"" П.ЭНЕМ";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НАЧАЛЬНАЯ ШКОЛА № 17"" ПОСЕЛКА ЭНЕМ ТАХТАМУКАЙСКОГО РАЙОНА РЕСПУБЛИКИ АДЫГЕЯ";385131, РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ), Р-Н ТАХТАМУКАЙСКИЙ, ПГТ ЭНЕМ, УЛ ЛЕНИНА, Д. 60;385131;РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ);;ПГТ ЭНЕМ;sosh-1743@yandex.ru;+7 (918) 693-33-15, +7 (877) 714-36-75;https://sh-n17-enem-r79.gosweb.gosuslugi.ru;сайт школы (поиск);Исполняющий обязанности директора;Гучетль Ибрагим Анзаурович;;;85.14;Образование среднее общее;действующая
0102004156;010101001;1020100861989;"МБОУ ""ООШ № 10"" С. ШТУРБИНО";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 10"" С. ШТУРБИНО КРАСНОГВАРДЕЙСКОГО РАЙОНА РЕСПУБЛИКИ АДЫГЕЯ";385325, РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ), Р-Н КРАСНОГВАРДЕЙСКИЙ, С. ШТУРБИНО, УЛ. КРАСНАЯ, Д. 16;385325;РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ);;С. ШТУРБИНО;shturbino10shkola@yandex.ru;+7 (877) 785-77-42, +7 (870) 599-71-45;https://oosh10.gosuslugi.ru;сайт школы (поиск);Директор;Мерчанова Луиза Валеровна;;;85.13;Образование основное общее;действующая
0102002631;010101001;1020100861725;"МБОУ ""ООШ № 12"" ИМЕНИ Н.А.БЕРЗЕГОВА А.БЖЕДУГХАБЛЬ";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 12"" ИМЕНИ Н.А.БЕРЗЕГОВА А.БЖЕДУГХАБЛЬ КРАСНОГВАРДЕЙСКОГО РАЙОНА РЕСПУБЛИКИ АДЫГЕЯ";385327, РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ), Р-Н КРАСНОГВАРДЕЙСКИЙ, АУЛ БЖЕДУГХАБЛЬ, УЛ. ШКОЛЬНАЯ, Д. 1;385327;РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ);;АУЛ БЖЕДУГХАБЛЬ;;;;;Исполняющая обязанности директора;Тугуз Зарема Аслановна;;;85.13;Образование основное общее;действующая
0102004011;010101001;1020100861890;"МБОУ ""ООШ №13"" С. НОВОСЕВАСТОПОЛЬСКОЕ";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ "" ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №13"" С. НОВОСЕВАСТОПОЛЬСКОЕ КРАСНОГВАРДЕЙСКОГО РАЙОНА РЕСПУБЛИКИ АДЫГЕЯ";385332, РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ), Р-Н КРАСНОГВАРДЕЙСКИЙ, С. НОВОСЕВАСТОПОЛЬСКОЕ, УЛ. ЧУЧВАГИ, Д. 4;385332;РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ);;С. НОВОСЕВАСТОПОЛЬСКОЕ;novsevschool@mail.ru;;;выдача поиска;Исполняющий обязанности директора;Филоненко Ирина Владимировна;;;85.13;Образование основное общее;действующая
