ИНН;КПП;ОГРН;Наименование краткое;Наименование полное;Адрес юридический;Индекс;Регион (область);Район;Город;Населённый пункт;E-mail;Телефоны;Сайт;Должность руководителя;ФИО руководителя;Численность работников;Численность на дату;ОКВЭД;ОКВЭД наименование;Статус
0108003416;010101001;1020100511089;;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 13"" Х. МИХАЙЛОВ ШОВГЕНОВСКОГО РАЙОНА РЕСПУБЛИКИ АДЫГЕЯ";;;Республика Адыгея (Адыгея);;;;;;;Директор;Синякова Наталья Ивановна;;;;;
0102001765;010101001;1020100862220;"""ШКОЛА-ИНТЕРНАТ ДЛЯ ДЕТЕЙ С ОВЗ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""ШКОЛА-ИНТЕРНАТ ДЛЯ ДЕТЕЙ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Хуажева Мариет Валериевна;;;;;
0100014014;010001001;1250100003075;"АНО ""ТАМЭ""";"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""СОВРЕМЕННАЯ ЭТНИЧЕСКАЯ ШКОЛА ""ТАМЭ"" (КРЫЛЬЯ)";;;Республика Адыгея (Адыгея);;;;;;;Директор;Кохужева Саида Ибрагимовна;;;;;
0106011531;010701001;1030100630306;ВСОШ №2;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ  ""ВЕЧЕРНЯЯ (СМЕННАЯ) ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Трахов Вячеслав Гучипсович;;;;;
0105031510;010501001;1020100709310;"ГБО ДО РА ""АРДШИ ИМ. К.Х. ТЛЕЦЕРУКА""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""АДЫГЕЙСКАЯ РЕСПУБЛИКАНСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ ИМЕНИ К.Х. ТЛЕЦЕРУКА""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Анзарокова Марзиет Чесиковна;;;;;
0106008063;010701001;1020100826206;"ГБО ДО РА ""АФИПСИПСКАЯ  ДШИ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""АФИПСИПСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Непсо Сима Айдамировна;;;;;
0101004019;010101001;1030100511517;"ГБО ДО РА ""ГИАГИНСКАЯ ДШИ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ГИАГИНСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Меретуков Эдуард Январбиевич;;;;;
0105034021;010501001;1020100697781;"ГБО ДО РА ""ДЕТСКАЯ ШКОЛА ИСКУССТВ №5""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ №5""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Пугачева Елена Павловна;;;;;
0101003872;010101001;1020100508614;"ГБО ДО РА ""ДОНДУКОВСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДОНДУКОВСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Меретукова Аида Хасамбиевна;;;;;
0105033998;010501001;1020100704326;"ГБО ДО РА ""ДХШ""";"ГОСУДАРСТВЕННАЯ БЮДЖЕТНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ АДЫГЕЯ ""ДЕТСКАЯ ХУДОЖЕСТВЕННАЯ ШКОЛА""";;;Республика Адыгея (Адыгея);;;;;;;Директор;Бредихина Ирина Вячеславна;;;;;
